stamp,data
1546752304.91,230.0
1546752304.92,230.0
1546752304.93,229.0
1546752304.94,229.0
1546752304.95,225.0
1546752304.96,229.0
1546752304.97,227.0
1546752304.98,227.0
1546752304.99,227.0
1546752305.0,225.0
1546752305.01,229.0
1546752305.02,226.0
1546752305.03,227.0
1546752305.04,226.0
1546752305.05,222.0
1546752305.06,226.0
1546752305.07,226.0
1546752305.08,225.0
1546752305.09,223.0
1546752305.1,221.0
1546752305.11,227.0
1546752305.12,227.0
1546752305.13,227.0
1546752305.14,226.0
1546752305.15,222.0
1546752305.16,226.0
1546752305.17,225.0
1546752305.18,225.0
1546752305.19,224.0
1546752305.2,222.0
1546752305.21,226.0
1546752305.22,224.0
1546752305.23,225.0
1546752305.24,224.0
1546752305.25,220.0
1546752305.26,226.0
1546752305.27,223.0
1546752305.28,224.0
1546752305.29,220.0
1546752305.3,218.0
1546752305.31,222.0
1546752305.32,219.0
1546752305.33,220.0
1546752305.34,217.0
1546752305.35,215.0
1546752305.36,220.0
1546752305.37,219.0
1546752305.38,222.0
1546752305.39,220.0
1546752305.4,218.0
1546752305.41,223.0
1546752305.42,222.0
1546752305.43,222.0
1546752305.44,218.0
1546752305.45,217.0
1546752305.46,223.0
1546752305.47,223.0
1546752305.48,221.0
1546752305.49,218.0
1546752305.5,217.0
1546752305.51,222.0
1546752305.52,222.0
1546752305.53,222.0
1546752305.54,218.0
1546752305.55,217.0
1546752305.56,222.0
1546752305.57,223.0
1546752305.58,222.0
1546752305.59,219.0
1546752305.6,217.0
1546752305.61,223.0
1546752305.62,222.0
1546752305.63,222.0
1546752305.64,218.0
1546752305.65,220.0
1546752305.66,224.0
1546752305.67,224.0
1546752305.68,223.0
1546752305.69,219.0
1546752305.7,218.0
1546752305.71,222.0
1546752305.72,222.0
1546752305.73,223.0
1546752305.74,219.0
1546752305.75,218.0
1546752305.76,223.0
1546752305.77,222.0
1546752305.78,222.0
1546752305.79,217.0
1546752305.8,216.0
1546752305.81,221.0
1546752305.82,221.0
1546752305.83,220.0
1546752305.84,216.0
1546752305.85,215.0
1546752305.86,220.0
1546752305.87,220.0
1546752305.88,219.0
1546752305.89,216.0
1546752305.9,216.0
1546752305.91,223.0
1546752305.92,225.0
1546752305.93,223.0
1546752305.94,220.0
1546752305.95,219.0
1546752305.96,224.0
1546752305.97,225.0
1546752305.98,222.0
1546752305.99,219.0
1546752306.0,217.0
1546752306.01,223.0
1546752306.02,224.0
1546752306.03,222.0
1546752306.04,219.0
1546752306.05,218.0
1546752306.06,223.0
1546752306.07,223.0
1546752306.08,221.0
1546752306.09,218.0
1546752306.1,217.0
1546752306.11,222.0
1546752306.12,222.0
1546752306.13,220.0
1546752306.14,218.0
1546752306.15,217.0
1546752306.16,221.0
1546752306.17,223.0
1546752306.18,223.0
1546752306.19,221.0
1546752306.2,219.0
1546752306.21,224.0
1546752306.22,225.0
1546752306.23,223.0
1546752306.24,221.0
1546752306.25,219.0
1546752306.26,224.0
1546752306.27,226.0
1546752306.28,223.0
1546752306.29,221.0
1546752306.3,219.0
1546752306.31,224.0
1546752306.32,225.0
1546752306.33,222.0
1546752306.34,218.0
1546752306.35,217.0
1546752306.36,222.0
1546752306.37,224.0
1546752306.38,221.0
1546752306.39,218.0
1546752306.4,217.0
1546752306.41,221.0
1546752306.42,224.0
1546752306.43,220.0
1546752306.44,219.0
1546752306.45,219.0
1546752306.46,224.0
1546752306.47,226.0
1546752306.48,223.0
1546752306.49,220.0
1546752306.5,218.0
1546752306.51,223.0
1546752306.52,225.0
1546752306.53,222.0
1546752306.54,219.0
1546752306.55,217.0
1546752306.56,223.0
1546752306.57,223.0
1546752306.58,220.0
1546752306.59,215.0
1546752306.6,214.0
1546752306.61,225.0
1546752306.62,219.0
1546752306.63,225.0
1546752306.64,219.0
1546752306.65,221.0
1546752306.66,230.0
1546752306.67,223.0
1546752306.68,226.0
1546752306.69,220.0
1546752306.7,220.0
1546752306.71,227.0
1546752306.72,226.0
1546752306.73,222.0
1546752306.74,219.0
1546752306.75,219.0
1546752306.76,223.0
1546752306.77,226.0
1546752306.78,220.0
1546752306.79,219.0
1546752306.8,219.0
1546752306.81,222.0
1546752306.82,227.0
1546752306.83,221.0
1546752306.84,220.0
1546752306.85,219.0
1546752306.86,223.0
1546752306.87,225.0
1546752306.88,221.0
1546752306.89,220.0
1546752306.9,219.0
1546752306.91,224.0
1546752306.92,227.0
1546752306.94,222.0
1546752306.94,220.0
1546752306.95,220.0
1546752306.96,223.0
1546752306.97,227.0
1546752306.98,222.0
1546752306.99,223.0
1546752307.0,221.0
1546752307.01,225.0
1546752307.02,226.0
1546752307.03,221.0
1546752307.04,221.0
1546752307.05,220.0
1546752307.06,225.0
1546752307.07,227.0
1546752307.08,222.0
1546752307.09,221.0
1546752307.1,220.0
1546752307.11,224.0
1546752307.12,225.0
1546752307.13,221.0
1546752307.14,220.0
1546752307.15,219.0
1546752307.16,223.0
1546752307.17,223.0
1546752307.18,219.0
1546752307.19,218.0
1546752307.2,218.0
1546752307.21,222.0
1546752307.22,223.0
1546752307.23,219.0
1546752307.24,221.0
1546752307.25,220.0
1546752307.26,223.0
1546752307.27,224.0
1546752307.28,219.0
1546752307.29,220.0
1546752307.3,218.0
1546752307.31,222.0
1546752307.32,222.0
1546752307.33,216.0
1546752307.34,217.0
1546752307.35,216.0
1546752307.36,219.0
1546752307.37,220.0
1546752307.38,217.0
1546752307.39,217.0
1546752307.4,216.0
1546752307.41,219.0
1546752307.42,218.0
1546752307.43,215.0
1546752307.44,216.0
1546752307.45,215.0
1546752307.46,219.0
1546752307.47,218.0
1546752307.48,214.0
1546752307.49,216.0
1546752307.5,215.0
1546752307.51,221.0
1546752307.52,222.0
1546752307.53,218.0
1546752307.54,218.0
1546752307.55,216.0
1546752307.56,220.0
1546752307.57,219.0
1546752307.58,217.0
1546752307.59,216.0
1546752307.6,215.0
1546752307.61,219.0
1546752307.62,218.0
1546752307.63,216.0
1546752307.64,216.0
1546752307.65,216.0
1546752307.66,220.0
1546752307.67,217.0
1546752307.68,214.0
1546752307.69,216.0
1546752307.7,215.0
1546752307.71,219.0
1546752307.72,217.0
1546752307.73,214.0
1546752307.74,215.0
1546752307.75,214.0
1546752307.76,219.0
1546752307.77,217.0
1546752307.78,216.0
1546752307.79,218.0
1546752307.8,217.0
1546752307.81,220.0
1546752307.82,219.0
1546752307.83,216.0
1546752307.84,218.0
1546752307.85,217.0
1546752307.86,219.0
1546752307.87,219.0
1546752307.88,216.0
1546752307.89,218.0
1546752307.9,218.0
1546752307.91,220.0
1546752307.92,219.0
1546752307.93,216.0
1546752307.94,217.0
1546752307.95,216.0
1546752307.96,219.0
1546752307.97,216.0
1546752307.98,215.0
1546752307.99,216.0
1546752308.0,215.0
1546752308.01,220.0
1546752308.02,215.0
1546752308.03,216.0
1546752308.04,218.0
1546752308.05,218.0
1546752308.06,223.0
1546752308.07,218.0
1546752308.08,220.0
1546752308.09,218.0
1546752308.1,216.0
1546752308.11,223.0
1546752308.12,216.0
1546752308.13,220.0
1546752308.14,219.0
1546752308.15,217.0
1546752308.16,225.0
1546752308.17,217.0
1546752308.18,223.0
1546752308.19,223.0
1546752308.2,220.0
1546752308.21,232.0
1546752308.22,222.0
