stamp,data
1546748988.19,249.0
1546748988.2,249.0
1546748988.21,248.0
1546748988.22,249.0
1546748988.23,248.0
1546748988.24,252.0
1546748988.25,252.0
1546748988.26,251.0
1546748988.27,250.0
1546748988.28,247.0
1546748988.29,250.0
1546748988.3,250.0
1546748988.31,251.0
1546748988.32,249.0
1546748988.33,246.0
1546748988.34,251.0
1546748988.35,251.0
1546748988.36,250.0
1546748988.37,248.0
1546748988.38,245.0
1546748988.39,249.0
1546748988.4,249.0
1546748988.41,248.0
1546748988.42,247.0
1546748988.43,245.0
1546748988.44,248.0
1546748988.45,250.0
1546748988.46,248.0
1546748988.47,247.0
1546748988.48,245.0
1546748988.49,251.0
1546748988.5,252.0
1546748988.51,249.0
1546748988.52,249.0
1546748988.53,246.0
1546748988.54,249.0
1546748988.55,250.0
1546748988.56,248.0
1546748988.57,249.0
1546748988.58,245.0
1546748988.59,248.0
1546748988.6,250.0
1546748988.61,246.0
1546748988.62,248.0
1546748988.63,244.0
1546748988.64,249.0
1546748988.65,249.0
1546748988.66,247.0
1546748988.67,248.0
1546748988.68,245.0
1546748988.69,248.0
1546748988.7,249.0
1546748988.71,248.0
1546748988.72,249.0
1546748988.73,244.0
1546748988.74,248.0
1546748988.75,249.0
1546748988.76,249.0
1546748988.77,251.0
1546748988.78,246.0
1546748988.79,249.0
1546748988.8,249.0
1546748988.81,248.0
1546748988.82,250.0
1546748988.83,246.0
1546748988.84,249.0
1546748988.85,249.0
1546748988.86,248.0
1546748988.87,249.0
1546748988.88,246.0
1546748988.89,248.0
1546748988.9,247.0
1546748988.91,246.0
1546748988.92,249.0
1546748988.93,246.0
1546748988.94,249.0
1546748988.95,247.0
1546748988.96,246.0
1546748988.97,248.0
1546748988.98,243.0
1546748988.99,249.0
1546748989.0,244.0
1546748989.01,248.0
1546748989.02,254.0
1546748989.03,247.0
1546748989.04,260.0
1546748989.05,254.0
1546748989.06,259.0
1546748989.07,261.0
1546748989.08,255.0
1546748989.09,262.0
1546748989.1,254.0
1546748989.11,257.0
1546748989.12,258.0
1546748989.13,250.0
1546748989.14,259.0
1546748989.15,252.0
1546748989.16,254.0
1546748989.17,257.0
1546748989.18,249.0
1546748989.19,257.0
1546748989.2,251.0
1546748989.21,251.0
1546748989.22,253.0
1546748989.23,246.0
1546748989.24,253.0
1546748989.25,248.0
1546748989.26,249.0
1546748989.27,250.0
1546748989.28,246.0
1546748989.29,253.0
1546748989.3,250.0
1546748989.31,250.0
1546748989.32,252.0
1546748989.33,246.0
1546748989.34,250.0
1546748989.35,247.0
1546748989.36,246.0
1546748989.37,250.0
1546748989.38,245.0
1546748989.39,247.0
1546748989.4,247.0
1546748989.41,245.0
1546748989.42,248.0
1546748989.43,244.0
1546748989.44,249.0
1546748989.45,248.0
1546748989.46,247.0
1546748989.47,249.0
1546748989.48,244.0
1546748989.49,247.0
1546748989.5,247.0
1546748989.51,246.0
1546748989.52,249.0
1546748989.53,245.0
1546748989.54,247.0
1546748989.55,250.0
1546748989.56,249.0
1546748989.57,253.0
1546748989.58,249.0
1546748989.59,251.0
1546748989.6,253.0
1546748989.61,250.0
1546748989.62,253.0
1546748989.63,249.0
1546748989.64,250.0
1546748989.65,250.0
