stamp,data
1546752469.67,62.0
1546752469.68,63.0
1546752469.69,63.0
1546752469.7,65.0
1546752469.71,65.0
1546752469.72,64.0
1546752469.73,64.0
1546752469.74,63.0
1546752469.75,64.0
1546752469.76,62.0
1546752469.77,61.0
1546752469.78,61.0
1546752469.79,61.0
1546752469.8,62.0
1546752469.81,61.0
1546752469.82,60.0
1546752469.83,63.0
1546752469.84,62.0
1546752469.85,62.0
1546752469.86,62.0
1546752469.87,64.0
1546752469.88,63.0
1546752469.89,62.0
1546752469.9,62.0
1546752469.91,61.0
1546752469.92,62.0
1546752469.93,62.0
1546752469.94,63.0
1546752469.95,62.0
1546752469.96,60.0
1546752469.97,60.0
1546752469.99,60.0
1546752469.99,61.0
1546752470.0,60.0
1546752470.01,60.0
1546752470.02,59.0
1546752470.03,59.0
1546752470.04,60.0
1546752470.05,58.0
1546752470.06,58.0
1546752470.07,58.0
1546752470.08,58.0
1546752470.09,60.0
1546752470.1,58.0
1546752470.11,59.0
1546752470.12,57.0
1546752470.13,58.0
1546752470.14,60.0
1546752470.15,57.0
1546752470.16,57.0
1546752470.17,57.0
1546752470.19,58.0
1546752470.19,59.0
1546752470.2,59.0
1546752470.21,57.0
1546752470.22,58.0
1546752470.23,59.0
1546752470.24,60.0
1546752470.25,61.0
1546752470.26,60.0
1546752470.27,62.0
1546752470.28,63.0
1546752470.29,63.0
1546752470.3,66.0
1546752470.31,65.0
1546752470.32,67.0
1546752470.33,68.0
1546752470.34,69.0
1546752470.35,70.0
1546752470.37,68.0
1546752470.37,67.0
1546752470.38,68.0
1546752470.39,67.0
1546752470.4,68.0
1546752470.41,66.0
1546752470.42,66.0
1546752470.43,66.0
1546752470.44,66.0
1546752470.45,67.0
1546752470.46,66.0
1546752470.47,64.0
1546752470.48,65.0
1546752470.49,64.0
1546752470.5,65.0
1546752470.51,62.0
1546752470.52,63.0
1546752470.53,64.0
1546752470.54,64.0
1546752470.55,64.0
1546752470.57,62.0
1546752470.57,61.0
1546752470.58,62.0
1546752470.59,62.0
1546752470.6,63.0
1546752470.61,62.0
1546752470.62,62.0
1546752470.63,64.0
1546752470.64,62.0
1546752470.65,65.0
1546752470.67,63.0
1546752470.67,63.0
1546752470.68,65.0
1546752470.69,63.0
1546752470.7,65.0
1546752470.71,64.0
1546752470.72,64.0
1546752470.73,64.0
1546752470.75,63.0
1546752470.75,63.0
1546752470.76,62.0
1546752470.77,62.0
1546752470.78,64.0
1546752470.79,63.0
1546752470.8,66.0
1546752470.81,65.0
1546752470.82,65.0
1546752470.83,66.0
1546752470.84,65.0
1546752470.85,67.0
1546752470.86,66.0
1546752470.87,65.0
1546752470.88,66.0
1546752470.9,65.0
1546752470.9,66.0
1546752470.92,65.0
1546752470.92,64.0
1546752470.93,66.0
1546752470.94,65.0
