stamp,data
1546752744.57,53.0
1546752744.58,54.0
1546752744.59,53.0
1546752744.6,53.0
1546752744.61,53.0
1546752744.62,52.0
1546752744.63,53.0
1546752744.64,52.0
1546752744.65,51.0
1546752744.66,50.0
1546752744.67,50.0
1546752744.68,50.0
1546752744.69,50.0
1546752744.7,50.0
1546752744.71,52.0
1546752744.72,51.0
1546752744.73,52.0
1546752744.74,51.0
1546752744.75,51.0
1546752744.76,53.0
1546752744.77,52.0
1546752744.78,55.0
1546752744.79,55.0
1546752744.8,55.0
1546752744.81,57.0
1546752744.82,56.0
1546752744.83,57.0
1546752744.84,56.0
1546752744.85,56.0
1546752744.86,57.0
1546752744.87,57.0
1546752744.88,59.0
1546752744.89,58.0
1546752744.9,59.0
1546752744.91,60.0
1546752744.92,58.0
1546752744.93,58.0
1546752744.94,58.0
1546752744.95,58.0
1546752744.96,59.0
1546752744.97,58.0
1546752744.98,62.0
1546752744.99,61.0
1546752745.0,59.0
1546752745.01,61.0
1546752745.02,60.0
1546752745.03,61.0
1546752745.04,61.0
1546752745.05,62.0
1546752745.06,63.0
1546752745.07,61.0
1546752745.08,63.0
1546752745.09,60.0
1546752745.1,60.0
1546752745.11,59.0
1546752745.12,57.0
1546752745.13,57.0
1546752745.14,55.0
1546752745.15,55.0
1546752745.16,55.0
1546752745.17,54.0
1546752745.18,54.0
1546752745.19,53.0
1546752745.2,51.0
1546752745.21,50.0
1546752745.22,51.0
1546752745.23,51.0
1546752745.24,57.0
1546752745.25,63.0
1546752745.26,70.0
1546752745.27,81.0
1546752745.28,90.0
1546752745.29,100.0
1546752745.3,108.0
1546752745.31,112.0
1546752745.32,117.0
1546752745.33,117.0
1546752745.34,119.0
1546752745.35,117.0
1546752745.36,111.0
1546752745.37,108.0
1546752745.39,100.0
1546752745.39,96.0
1546752745.4,90.0
1546752745.41,85.0
1546752745.42,80.0
1546752745.44,76.0
1546752745.44,73.0
1546752745.45,71.0
1546752745.46,70.0
1546752745.47,68.0
1546752745.48,70.0
1546752745.49,68.0
1546752745.5,68.0
1546752745.51,70.0
1546752745.52,69.0
1546752745.53,72.0
1546752745.54,70.0
1546752745.55,71.0
1546752745.56,72.0
1546752745.57,71.0
1546752745.58,74.0
1546752745.59,74.0
1546752745.6,75.0
1546752745.61,77.0
1546752745.62,76.0
1546752745.63,79.0
1546752745.64,78.0
1546752745.65,78.0
1546752745.66,80.0
1546752745.67,79.0
1546752745.68,81.0
1546752745.69,79.0
1546752745.7,77.0
1546752745.71,78.0
1546752745.72,76.0
1546752745.73,77.0
1546752745.74,74.0
1546752745.75,74.0
1546752745.76,76.0
1546752745.77,74.0
1546752745.79,75.0
1546752745.79,73.0
1546752745.8,71.0
1546752745.81,72.0
1546752745.82,70.0
1546752745.83,70.0
1546752745.84,68.0
1546752745.85,67.0
1546752745.86,67.0
1546752745.87,64.0
1546752745.88,64.0
1546752745.89,63.0
1546752745.9,62.0
1546752745.91,63.0
1546752745.92,61.0
1546752745.93,60.0
1546752745.94,58.0
1546752745.95,56.0
1546752745.96,56.0
1546752745.97,55.0
1546752745.98,55.0
1546752745.99,54.0
1546752746.0,53.0
1546752746.01,53.0
1546752746.02,52.0
1546752746.03,51.0
1546752746.04,50.0
1546752746.05,49.0
1546752746.06,51.0
1546752746.07,50.0
1546752746.08,51.0
1546752746.09,51.0
1546752746.1,50.0
1546752746.11,53.0
1546752746.12,51.0
1546752746.13,53.0
1546752746.14,52.0
1546752746.15,52.0
1546752746.16,53.0
1546752746.17,52.0
1546752746.18,52.0
1546752746.19,51.0
1546752746.2,50.0
1546752746.21,51.0
1546752746.22,51.0
1546752746.23,50.0
1546752746.24,50.0
1546752746.25,49.0
1546752746.26,51.0
1546752746.27,50.0
1546752746.28,49.0
1546752746.29,51.0
1546752746.3,50.0
1546752746.31,50.0
1546752746.32,50.0
1546752746.33,49.0
1546752746.34,49.0
1546752746.35,48.0
1546752746.36,49.0
1546752746.37,48.0
1546752746.38,48.0
1546752746.39,51.0
1546752746.4,58.0
1546752746.42,61.0
1546752746.42,72.0
1546752746.44,79.0
1546752746.44,90.0
1546752746.46,99.0
1546752746.46,102.0
1546752746.47,104.0
1546752746.48,101.0
1546752746.49,96.0
1546752746.5,93.0
1546752746.51,87.0
1546752746.52,82.0
1546752746.54,77.0
1546752746.54,74.0
1546752746.55,71.0
1546752746.56,71.0
1546752746.57,68.0
1546752746.58,68.0
1546752746.59,68.0
1546752746.6,68.0
1546752746.61,72.0
1546752746.62,72.0
1546752746.64,75.0
1546752746.64,76.0
1546752746.65,77.0
1546752746.66,80.0
1546752746.67,79.0
1546752746.69,81.0
1546752746.69,81.0
1546752746.7,80.0
1546752746.71,84.0
1546752746.72,83.0
1546752746.73,84.0
1546752746.74,83.0
1546752746.75,83.0
1546752746.76,85.0
1546752746.77,83.0
1546752746.78,85.0
1546752746.79,84.0
1546752746.8,84.0
1546752746.81,86.0
1546752746.82,83.0
1546752746.84,83.0
1546752746.84,83.0
1546752746.85,82.0
1546752746.87,84.0
1546752746.87,81.0
1546752746.88,82.0
1546752746.89,81.0
1546752746.9,80.0
1546752746.91,81.0
1546752746.92,79.0
1546752746.94,78.0
1546752746.94,77.0
1546752746.95,75.0
1546752746.96,75.0
1546752746.97,71.0
1546752746.98,72.0
1546752746.99,71.0
1546752747.0,70.0
1546752747.01,73.0
1546752747.02,72.0
1546752747.03,73.0
1546752747.04,73.0
1546752747.05,72.0
1546752747.06,74.0
1546752747.07,72.0
1546752747.08,74.0
1546752747.09,73.0
1546752747.1,71.0
1546752747.11,73.0
1546752747.12,71.0
1546752747.13,71.0
1546752747.14,70.0
1546752747.15,68.0
1546752747.17,70.0
1546752747.17,68.0
1546752747.18,68.0
1546752747.19,67.0
1546752747.2,66.0
1546752747.21,67.0
1546752747.22,65.0
1546752747.24,65.0
1546752747.24,63.0
1546752747.25,61.0
1546752747.26,62.0
1546752747.27,60.0
1546752747.29,59.0
1546752747.29,59.0
1546752747.3,58.0
1546752747.32,57.0
1546752747.32,56.0
1546752747.34,55.0
1546752747.34,55.0
1546752747.35,55.0
1546752747.37,55.0
1546752747.37,53.0
1546752747.38,53.0
1546752747.39,54.0
1546752747.4,52.0
1546752747.41,54.0
1546752747.42,53.0
1546752747.44,51.0
1546752747.44,52.0
1546752747.45,52.0
1546752747.47,53.0
1546752747.47,52.0
1546752747.48,52.0
1546752747.49,52.0
1546752747.5,51.0
1546752747.52,53.0
1546752747.52,51.0
1546752747.53,51.0
1546752747.54,51.0
1546752747.55,50.0
1546752747.57,51.0
1546752747.57,50.0
1546752747.58,49.0
1546752747.59,50.0
1546752747.6,49.0
1546752747.62,49.0
1546752747.62,48.0
1546752747.63,48.0
1546752747.64,49.0
1546752747.65,48.0
1546752747.67,48.0
1546752747.67,48.0
1546752747.69,47.0
1546752747.69,50.0
1546752747.71,48.0
1546752747.71,50.0
1546752747.72,49.0
1546752747.73,49.0
1546752747.74,50.0
1546752747.75,49.0
1546752747.77,50.0
1546752747.78,49.0
1546752747.78,49.0
1546752747.79,50.0
1546752747.81,49.0
1546752747.81,51.0
1546752747.82,50.0
1546752747.84,50.0
1546752747.84,52.0
1546752747.86,51.0
1546752747.86,53.0
1546752747.87,52.0
1546752747.88,51.0
1546752747.89,51.0
1546752747.9,49.0
1546752747.92,50.0
1546752747.92,49.0
1546752747.94,49.0
1546752747.94,50.0
1546752747.95,50.0
1546752747.96,51.0
1546752747.97,50.0
1546752747.98,50.0
1546752747.99,52.0
1546752748.0,51.0
1546752748.02,53.0
1546752748.02,53.0
1546752748.04,53.0
1546752748.04,55.0
1546752748.05,54.0
1546752748.07,56.0
1546752748.07,55.0
1546752748.09,54.0
1546752748.09,56.0
1546752748.11,54.0
1546752748.11,55.0
1546752748.12,54.0
1546752748.14,53.0
1546752748.14,54.0
1546752748.15,52.0
1546752748.17,50.0
1546752748.17,51.0
1546752748.18,50.0
1546752748.19,51.0
1546752748.2,58.0
1546752748.22,64.0
1546752748.22,76.0
1546752748.23,87.0
1546752748.24,97.0
1546752748.25,108.0
1546752748.27,113.0
1546752748.27,118.0
1546752748.29,119.0
1546752748.29,114.0
1546752748.3,110.0
1546752748.31,103.0
1546752748.32,98.0
1546752748.34,92.0
1546752748.35,85.0
1546752748.36,81.0
1546752748.37,78.0
1546752748.38,74.0
1546752748.38,71.0
1546752748.4,71.0
1546752748.4,67.0
1546752748.41,69.0
1546752748.42,68.0
1546752748.43,67.0
1546752748.44,68.0
1546752748.46,65.0
1546752748.47,66.0
1546752748.47,65.0
1546752748.48,64.0
1546752748.5,65.0
1546752748.51,64.0
1546752748.52,65.0
1546752748.53,63.0
1546752748.53,63.0
1546752748.55,65.0
1546752748.55,63.0
1546752748.57,64.0
1546752748.57,63.0
1546752748.59,63.0
1546752748.59,65.0
1546752748.6,64.0
1546752748.62,64.0
1546752748.62,63.0
1546752748.64,63.0
1546752748.64,65.0
1546752748.65,63.0
1546752748.67,65.0
1546752748.67,64.0
1546752748.69,64.0
1546752748.69,66.0
1546752748.7,66.0
1546752748.72,68.0
1546752748.72,66.0
1546752748.74,67.0
1546752748.74,69.0
1546752748.75,67.0
1546752748.77,70.0
1546752748.77,69.0
